id,name,cost,capacity,pair
2africa,2Africa,925,,16
acs-alaska-oregon-network-akorn,ACS Alaska-Oregon Network (AKORN),100,0.01,4
aden-djibouti,Aden-Djibouti,6.725,,
adria-1,Adria-1,13.4,0.000622,
aec-1,AEC-1,300,78,6
africa-coast-to-europe-ace,Africa Coast to Europe (ACE),700,20,
africa-1,Africa-1,250,192,8
alaska-united-east-au-east,Alaska United East (AU-East),100,0.01,2
alaska-united-southeast-au-se,Alaska United Southeast (AU-SE),15.65,0.01,
alaska-united-turnagain-arm-auta,Alaska United Turnagain Arm (AUTA),1.325,,
alaska-united-west-au-west,Alaska United West (AU-West),30,0.64,4
alba-1,ALBA-1,72,5.12,
aletar,Aletar,23,0.005,1
alonso-de-ojeda,Alonso de Ojeda,8.7,0.1,
alpal-2,ALPAL-2,17.6,0.16,4
america-movil-submarine-cable-system-1-amx-1,America Movil Submarine Cable System-1 (AMX-1),700,50,
americas-i-north,Americas-I North,220,1.2,2
americas-ii,Americas-II,350,10,12
amerigo-vespucci,Amerigo Vespucci,15,,
amitie,Amitie,182.3,23,16
antillas-1,Antillas 1,,,
apcn-2,APCN-2,110,25.6,4
apollo,Apollo,350,64,4
apollo-east-and-west,Apollo East and West,,,
apricot,Apricot,300,,
aqualink,Aqualink,,,
arcos,ARCOS,250,8.4,12
arsat-submarine-fiber-optic-cable,ARSAT Submarine Fiber Optic Cable,,,
asia-africa-europe-1-aae-1,Asia Africa Europe-1 (AAE-1),800,80,5
asia-connect-cable-1-acc1,Asia Connect Cable 1 (ACC1),,,
asia-direct-cable-adc,Asia Direct Cable (ADC),235,140,
asia-pacific-gateway-apg,Asia Pacific Gateway (APG),313,54,
asia-submarine-cable-express-asecahaya-malaysia,Asia Submarine-cable Express (ASE)/Cahaya Malaysia,412,15.36,6
asia-america-gateway-aag-cable-system,Asia-America Gateway (AAG) Cable System,500,28.8,3
atisa,Atisa,7,7.2,6
atlantic-crossing-1-ac-1,Atlantic Crossing-1 (AC-1),875,5.2,4
atlas-offshore,Atlas Offshore,,,
au-aleutian,AU-Aleutian,36.4,,6
aurora-cable-system,AURORA Cable System,,,
australia-japan-cable-ajc,Australia-Japan Cable (AJC),520,25.6,64
australia-singapore-cable-asc,Australia-Singapore Cable (ASC),170,60,4
avassa,Avassa,6.5,,2
azerbaijan-turkmenistan,Azerbaijan-Turkmenistan,,,
azores-fiber-optic-system-afos,Azores Fiber Optic System (AFOS),,,
b2js-jakarta-bangka-batam-singapore-cable-system,B2JS (Jakarta-Bangka-Batam-Singapore) Cable System,,,
bahamas-2,Bahamas 2,25,2.4,
bahamas-domestic-submarine-network-bdsni,Bahamas Domestic Submarine Network (BDSNi),,,
bahamas-internet-cable-system-bics,Bahamas Internet Cable System (BICS),31,12,
balalink,Balalink,6.825,,
balok,BALOK,1.25,,12
baltic-sea-submarine-cable,Baltic Sea Submarine Cable,,,
baltica,Baltica,16,0.005,6
bass-strait-1,Bass Strait-1,22.5,1,
bass-strait-2,Bass Strait-2,17,1,
basslink,Basslink,600,0.64,6
batam-dumai-melaka-bdm-cable-system,Batam Dumai Melaka (BDM) Cable System,76,2.56,4
batam-sarawak-internet-cable-system-basics,Batam Sarawak Internet Cable System (BaSICS),19.05,,
batam-singapore-cable-system-bscs,Batam Singapore Cable System (BSCS),13.1,0.08,3
batam-rengit-cable-system-brcs,Batam-Rengit Cable System (BRCS),10,0.01,
bay-of-bengal-gateway-bbg,Bay of Bengal Gateway (BBG),250,55,3
bcs-east,BCS East,15,,96
bcs-east-west-interlink,BCS East-West Interlink,20,,8
bcs-north---phase-1,BCS North - Phase 1,30,,66
bcs-north---phase-2,BCS North - Phase 2,,,
berytar,BERYTAR,,,
bharat-lanka-cable-system,Bharat Lanka Cable System,40,0.96,
bicentenario,Bicentenario,,,
bifrost,Bifrost,100,,12
biznet-nusantara-cable-system-1-bncs-1,Biznet Nusantara Cable System-1 (BNCS-1),,,
blue,Blue,400,,16
bodo-rost-cable,Bodo-Rost Cable,2.725,,
boracay-palawan-submarine-cable-system,Boracay-Palawan Submarine Cable System,20,4.8,12
